2022-01-03,86
2022-01-04,337
2022-01-05,219
2022-01-06,376
2022-01-07,460
2022-01-08,452
2022-01-09,464
2022-01-10,548
2022-01-11,902
2022-01-12,628
2022-01-13,513
2022-01-14,337
2022-01-15,357
2022-01-16,328
2022-01-17,283
2022-01-18,300
2022-01-19,290
2022-01-20,252
2022-01-21,188
2022-01-22,162
2022-01-23,161
2022-01-24,133
2022-01-25,261
2022-01-26,359
2022-01-27,292
2022-01-28,225
2022-01-29,183
2022-01-30,125
2022-01-31,101
2022-02-01,107
2022-02-02,133
2022-02-03,148
2022-02-04,121
2022-02-05,106
2022-02-06,63
